[ 2025-01-05 17:58:50,988 ] 21 root - INFO - Initiated Data Ingestion Completed
[ 2025-01-05 17:58:56,211 ] 73 root - INFO - Performed Train Test Split on the dataframe
[ 2025-01-05 17:58:56,211 ] 79 root - INFO - Exporting train and test file path.
[ 2025-01-05 17:58:56,291 ] 89 root - INFO - Exported train and test file path.
[ 2025-01-05 17:58:56,291 ] 23 root - INFO - Completed Data Ingestion
[ 2025-01-05 17:58:56,307 ] 27 root - INFO - Initiated Data Validation
[ 2025-01-05 17:58:56,360 ] 40 root - INFO - Required number of columns:2
[ 2025-01-05 17:58:56,361 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-05 17:58:56,361 ] 40 root - INFO - Required number of columns:2
[ 2025-01-05 17:58:56,361 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-05 17:58:56,443 ] 29 root - INFO - Completed Data Validation
[ 2025-01-05 17:58:56,443 ] 32 root - INFO - Initiated Data Transformation
[ 2025-01-05 17:58:56,443 ] 69 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-05 17:58:56,443 ] 73 root - INFO - Started Data Transformation and Reading train and test file 
[ 2025-01-05 17:58:56,472 ] 54 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-05 17:58:56,472 ] 59 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-05 17:58:56,486 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-05 17:58:56,486 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-05 17:58:56,486 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-05 17:58:56,495 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-05 17:58:56,497 ] 36 root - INFO - Completed Data Transformation
[ 2025-01-05 17:58:56,497 ] 38 root - INFO - Model Training sstared
[ 2025-01-05 18:01:42,563 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-05 18:01:42,564 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-05 18:01:42,565 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-05 18:01:42,633 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-05 18:01:42,633 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_05_2025_17_58_44\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9918155619596541), precision_score=np.float64(0.9889655172413793), recall_score=np.float64(0.9946820809248554)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9763651181744091), precision_score=np.float64(0.9718766901027582), recall_score=np.float64(0.9808951965065502)))
[ 2025-01-05 18:01:42,636 ] 43 root - INFO - Model Training artifact created
