[ 2025-01-05 14:43:47,540 ] 20 root - INFO - Initiated Data Ingestion Completed
[ 2025-01-05 14:43:52,958 ] 73 root - INFO - Performed Train Test Split on the dataframe
[ 2025-01-05 14:43:52,958 ] 79 root - INFO - Exporting train and test file path.
[ 2025-01-05 14:43:53,020 ] 89 root - INFO - Exported train and test file path.
[ 2025-01-05 14:43:53,036 ] 22 root - INFO - Completed Data Ingestion
[ 2025-01-05 14:43:53,036 ] 26 root - INFO - Initiated Data Validation
[ 2025-01-05 14:43:53,101 ] 40 root - INFO - Required number of columns:2
[ 2025-01-05 14:43:53,101 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-05 14:43:53,101 ] 40 root - INFO - Required number of columns:2
[ 2025-01-05 14:43:53,101 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-05 14:43:53,187 ] 28 root - INFO - Completed Data Validation
[ 2025-01-05 14:43:53,187 ] 31 root - INFO - Initiated Data Transformation
[ 2025-01-05 14:43:53,187 ] 69 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-05 14:43:53,187 ] 73 root - INFO - Started Data Transformation and Reading train and test file 
[ 2025-01-05 14:43:53,203 ] 54 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-05 14:43:53,203 ] 59 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
