[ 2025-01-04 21:45:14,827 ] 19 root - INFO - Initiated Data Ingestion Completed
[ 2025-01-04 21:45:20,774 ] 73 root - INFO - Performed Train Test Split on the dataframe
[ 2025-01-04 21:45:20,790 ] 79 root - INFO - Exporting train and test file path.
[ 2025-01-04 21:45:20,853 ] 89 root - INFO - Exported train and test file path.
[ 2025-01-04 21:45:20,853 ] 21 root - INFO - Completed Data Ingestion
[ 2025-01-04 21:45:20,868 ] 25 root - INFO - Initiated Data Validation
[ 2025-01-04 21:45:20,924 ] 40 root - INFO - Required number of columns:2
[ 2025-01-04 21:45:20,925 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-04 21:45:20,925 ] 40 root - INFO - Required number of columns:2
[ 2025-01-04 21:45:20,925 ] 41 root - INFO - Data frame has columns:31
[ 2025-01-04 21:45:21,029 ] 27 root - INFO - Completed Data Validation
